nationality,passportType,visaType
VATICAN,Service Passport,Reciprocity 90 Days
Iceland,NORMAL,European Nationals (Schengen)
Iceland,DIPLOMATIC,Reciprocity 90 Days
Iceland,PRIVATE,Reciprocity 90 Days
Iceland,ASSIGNMENT,Reciprocity 90 Days
Iceland,Official Passport,Reciprocity 90 Days
Iceland,Service Passport,Reciprocity 90 Days
ANDORRA,NORMAL,On Arival
SAN MARINO,NORMAL,European Nationals (Schengen)
SAN MARINO,DIPLOMATIC,European Nationals (Schengen)
SAN MARINO,Service Passport,European Nationals (Schengen)
LIECHTENSTEIN,NORMAL,European Nationals (Schengen)
LIECHTENSTEIN,DIPLOMATIC,Reciprocity 90 Days
LIECHTENSTEIN,PRIVATE,Reciprocity 90 Days
LIECHTENSTEIN,ASSIGNMENT,Reciprocity 90 Days
LIECHTENSTEIN,Official Passport,Reciprocity 90 Days
LIECHTENSTEIN,Service Passport,Reciprocity 90 Days
CZECH REPUBLIC,NORMAL,European Nationals (Schengen)
CZECH REPUBLIC,DIPLOMATIC,Reciprocity 90 Days
CZECH REPUBLIC,PRIVATE,Reciprocity 90 Days
CZECH REPUBLIC,ASSIGNMENT,Reciprocity 90 Days
CZECH REPUBLIC,Official Passport,Reciprocity 90 Days
CZECH REPUBLIC,Service Passport,Reciprocity 90 Days
CROATIA,NORMAL,European Nationals (Schengen)
CROATIA,DIPLOMATIC,Reciprocity 90 Days
CROATIA,PRIVATE,Reciprocity 90 Days
CROATIA,ASSIGNMENT,Reciprocity 90 Days
CROATIA,Official Passport,Reciprocity 90 Days
CROATIA,Service Passport,Reciprocity 90 Days
SLOVAKIA,NORMAL,European Nationals (Schengen)
SLOVAKIA,DIPLOMATIC,Reciprocity 90 Days
SLOVAKIA,PRIVATE,Reciprocity 90 Days
SLOVAKIA,ASSIGNMENT,Reciprocity 90 Days
SLOVAKIA,Official Passport,Reciprocity 90 Days
SLOVAKIA,Service Passport,Reciprocity 90 Days
SLOVENIA,NORMAL,European Nationals (Schengen)
SLOVENIA,DIPLOMATIC,Reciprocity 90 Days
SLOVENIA,PRIVATE,Reciprocity 90 Days
SLOVENIA,ASSIGNMENT,Reciprocity 90 Days
SLOVENIA,Official Passport,Reciprocity 90 Days
SLOVENIA,Service Passport,Reciprocity 90 Days
LITHUANIA,NORMAL,European Nationals (Schengen)
LITHUANIA,DIPLOMATIC,Reciprocity 90 Days
LITHUANIA,PRIVATE,Reciprocity 90 Days
LITHUANIA,ASSIGNMENT,Reciprocity 90 Days
LITHUANIA,Official Passport,Reciprocity 90 Days
LITHUANIA,Service Passport,Reciprocity 90 Days
ESTONIA,NORMAL,European Nationals (Schengen)
ESTONIA,DIPLOMATIC,Reciprocity 90 Days
ESTONIA,PRIVATE,Reciprocity 90 Days
