nationality,passportType,visaType
ESTONIA,ASSIGNMENT,Reciprocity 90 Days
ESTONIA,Official Passport,Reciprocity 90 Days
ESTONIA,Service Passport,Reciprocity 90 Days
LATVIA,NORMAL,European Nationals (Schengen)
LATVIA,DIPLOMATIC,Reciprocity 90 Days
LATVIA,PRIVATE,Reciprocity 90 Days
LATVIA,ASSIGNMENT,Reciprocity 90 Days
LATVIA,Official Passport,Reciprocity 90 Days
LATVIA,Service Passport,Reciprocity 90 Days
SERBIA,NORMAL,Reciprocity 90 Days
SERBIA,DIPLOMATIC,Reciprocity 90 Days
SERBIA,PRIVATE,Reciprocity 90 Days
SERBIA,Official Passport,Reciprocity 90 Days
BULGARIA,NORMAL,European Nationals (Schengen)
BULGARIA,DIPLOMATIC,Reciprocity 90 Days
BULGARIA,PRIVATE,Reciprocity 90 Days
BULGARIA,ASSIGNMENT,Reciprocity 90 Days
BULGARIA,Official Passport,Reciprocity 90 Days
BULGARIA,Service Passport,Reciprocity 90 Days
Hungary,NORMAL,European Nationals (Schengen)
Hungary,DIPLOMATIC,Reciprocity 90 Days
Hungary,PRIVATE,Reciprocity 90 Days
Hungary,ASSIGNMENT,Reciprocity 90 Days
Hungary,Official Passport,Reciprocity 90 Days
Hungary,Service Passport,Reciprocity 90 Days
ROMANIA,NORMAL,European Nationals (Schengen)
ROMANIA,DIPLOMATIC,Reciprocity 90 Days
ROMANIA,PRIVATE,Reciprocity 90 Days
ROMANIA,ASSIGNMENT,Reciprocity 90 Days
ROMANIA,Official Passport,Reciprocity 90 Days
ROMANIA,Service Passport,Reciprocity 90 Days
Poland,NORMAL,European Nationals (Schengen)
Poland,DIPLOMATIC,Reciprocity 90 Days
Poland,PRIVATE,Reciprocity 90 Days
Poland,ASSIGNMENT,Reciprocity 90 Days
Poland,Official Passport,Reciprocity 90 Days
Poland,Service Passport,Reciprocity 90 Days
ALBANIA,DIPLOMATIC,Reciprocity 90 Days
ALBANIA,Service Passport,Reciprocity 90 Days
TURKEY,DIPLOMATIC,Reciprocity 90 Days
TURKEY,PRIVATE,Reciprocity 90 Days
TURKEY,ASSIGNMENT,Reciprocity 90 Days
TURKEY,Official Passport,Reciprocity 90 Days
TURKEY,Service Passport,Reciprocity 90 Days
RUSSIA,NORMAL,European Nationals (Schengen)
RUSSIA,DIPLOMATIC,Reciprocity 90 Days
RUSSIA,Service Passport,Reciprocity 90 Days
UKRAINE,NORMAL,On Arival
UKRAINE,DIPLOMATIC,Reciprocity 90 Days
UKRAINE,ASSIGNMENT,Reciprocity 90 Days
