nationality,passportType,visaType
ITALY,PRIVATE,Reciprocity 90 Days
ITALY,ASSIGNMENT,Reciprocity 90 Days
ITALY,Official Passport,Reciprocity 90 Days
ITALY,Service Passport,Reciprocity 90 Days
GERMANY,NORMAL,European Nationals (Schengen)
GERMANY,DIPLOMATIC,Reciprocity 90 Days
GERMANY,PRIVATE,Reciprocity 90 Days
GERMANY,ASSIGNMENT,Reciprocity 90 Days
GERMANY,Official Passport,Reciprocity 90 Days
GERMANY,Service Passport,Reciprocity 90 Days
HOLLAND,NORMAL,European Nationals (Schengen)
HOLLAND,DIPLOMATIC,Reciprocity 90 Days
HOLLAND,PRIVATE,Reciprocity 90 Days
HOLLAND,ASSIGNMENT,Reciprocity 90 Days
HOLLAND,Official Passport,Reciprocity 90 Days
HOLLAND,Service Passport,Reciprocity 90 Days
BELGIUM,NORMAL,European Nationals (Schengen)
BELGIUM,DIPLOMATIC,Reciprocity 90 Days
BELGIUM,PRIVATE,Reciprocity 90 Days
BELGIUM,ASSIGNMENT,Reciprocity 90 Days
BELGIUM,Official Passport,Reciprocity 90 Days
BELGIUM,Service Passport,Reciprocity 90 Days
LUXEMBOURG,NORMAL,European Nationals (Schengen)
LUXEMBOURG,DIPLOMATIC,Reciprocity 90 Days
LUXEMBOURG,PRIVATE,Reciprocity 90 Days
LUXEMBOURG,ASSIGNMENT,Reciprocity 90 Days
LUXEMBOURG,Official Passport,Reciprocity 90 Days
LUXEMBOURG,Service Passport,Reciprocity 90 Days
SWITZERLAND,NORMAL,European Nationals (Schengen)
SWITZERLAND,DIPLOMATIC,Reciprocity 90 Days
SWITZERLAND,PRIVATE,Reciprocity 90 Days
SWITZERLAND,ASSIGNMENT,Reciprocity 90 Days
SWITZERLAND,Official Passport,Reciprocity 90 Days
SWITZERLAND,Service Passport,Reciprocity 90 Days
AUSTRIA,NORMAL,European Nationals (Schengen)
AUSTRIA,DIPLOMATIC,Reciprocity 90 Days
AUSTRIA,PRIVATE,Reciprocity 90 Days
AUSTRIA,ASSIGNMENT,Reciprocity 90 Days
AUSTRIA,Official Passport,Reciprocity 90 Days
AUSTRIA,Service Passport,Reciprocity 90 Days
SWEDEN,NORMAL,European Nationals (Schengen)
SWEDEN,DIPLOMATIC,Reciprocity 90 Days
SWEDEN,PRIVATE,Reciprocity 90 Days
SWEDEN,ASSIGNMENT,Reciprocity 90 Days
SWEDEN,Official Passport,Reciprocity 90 Days
SWEDEN,Service Passport,Reciprocity 90 Days
NORWAY,NORMAL,European Nationals (Schengen)
NORWAY,DIPLOMATIC,Reciprocity 90 Days
NORWAY,PRIVATE,Reciprocity 90 Days
NORWAY,ASSIGNMENT,Reciprocity 90 Days
